year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,MI,26163,Wayne,62024,33666,14079,22.7,25511,20837,15676,41.13,33.6,50102,9450,2440,32,0,80.78,15.24,3.93,27720,4648,1278,20,0,82.34,13.81,3.8,national
2025,MI,26125,,51476,31664,8459,16.43,21160,17743,12573,41.11,34.47,46014,3780,1663,19,0,89.39,7.34,3.23,28840,1891,920,13,0,91.08,5.97,2.91,national
2025,MI,26099,,35750,21473,6872,19.22,14972,12342,8436,41.88,34.52,29695,4294,1745,16,0,83.06,12.01,4.88,18202,2256,1005,10,0,84.77,10.51,4.68,national
2025,MI,26081,,26260,16640,4247,16.17,10860,8617,6783,41.36,32.81,23290,2040,920,10,0,88.69,7.77,3.5,15029,1072,531,8,0,90.32,6.44,3.19,national
2025,MI,26049,,14786,8751,2620,17.72,6283,4687,3816,42.49,31.7,11017,2684,978,107,0,74.51,18.15,6.61,6570,1545,561,75,0,75.08,17.66,6.41,national
2025,MI,26139,,11977,7794,1826,15.25,4830,3964,3183,40.33,33.1,10809,720,444,4,0,90.25,6.01,3.71,7159,367,265,3,0,91.85,4.71,3.4,national
2025,MI,26161,,11743,7140,1912,16.28,5382,3546,2815,45.83,30.2,10690,675,368,10,0,91.03,5.75,3.13,6614,324,198,4,0,92.63,4.54,2.77,national
2025,MI,26077,,9852,6162,1677,17.02,4208,3228,2416,42.71,32.76,8437,887,520,8,0,85.64,9.0,5.28,5412,431,314,5,0,87.83,6.99,5.1,national
2025,MI,26093,,8659,5580,1357,15.67,3363,2823,2473,38.84,32.6,7530,621,475,33,0,86.96,7.17,5.49,4930,338,288,24,0,88.35,6.06,5.16,national
2025,MI,26065,,9316,5496,1671,17.94,4390,2608,2318,47.12,27.99,7604,1187,506,19,0,81.62,12.74,5.43,4582,619,281,14,0,83.37,11.26,5.11,national
2025,MI,26121,,7752,4775,1312,16.92,3215,2734,1803,41.47,35.27,5839,1258,647,8,0,75.32,16.23,8.35,3657,746,365,7,0,76.59,15.62,7.64,national
2025,MI,26147,,7384,4320,1465,19.84,2935,2418,2031,39.75,32.75,5978,912,459,35,0,80.96,12.35,6.22,3531,502,260,27,0,81.74,11.62,6.02,national
2025,MI,26115,,6787,4125,1310,19.3,2764,2297,1726,40.72,33.84,5418,941,404,24,0,79.83,13.86,5.95,3345,540,228,12,0,81.09,13.09,5.53,national
2025,MI,26021,,6915,4011,1371,19.83,2770,2077,2068,40.06,30.04,5852,676,369,18,0,84.63,9.78,5.34,3459,331,207,14,0,86.24,8.25,5.16,national
2025,MI,26075,,5983,3600,1098,18.35,2630,1829,1524,43.96,30.57,4565,939,450,29,0,76.3,15.69,7.52,2786,517,278,19,0,77.39,14.36,7.72,national
2025,MI,26145,,5791,3495,1073,18.53,2569,1836,1386,44.36,31.7,4424,862,472,33,0,76.39,14.89,8.15,2750,476,246,23,0,78.68,13.62,7.04,national
2025,MI,26005,,5630,3398,998,17.73,2146,1955,1529,38.12,34.72,4870,500,246,14,0,86.5,8.88,4.37,3022,230,138,8,0,88.93,6.77,4.06,national
2025,MI,26025,,5409,3152,1092,20.19,2186,1987,1236,40.41,36.74,4073,847,464,25,0,75.3,15.66,8.58,2471,410,259,12,0,78.39,13.01,8.22,national
2025,MI,26055,,4114,2514,668,16.24,1689,1355,1070,41.05,32.94,3632,259,218,5,0,88.28,6.3,5.3,2250,141,120,3,0,89.5,5.61,4.77,national
2025,MI,26045,,4130,2482,737,17.85,1831,1277,1022,44.33,30.92,3284,505,310,31,0,79.52,12.23,7.51,1985,281,197,19,0,79.98,11.32,7.94,national
2025,MI,26091,,3774,2324,672,17.81,1599,1180,995,42.37,31.27,2884,569,270,51,0,76.42,15.08,7.15,1828,312,148,36,0,78.66,13.43,6.37,national
2025,MI,26087,,3673,2268,610,16.61,1379,1310,984,37.54,35.67,2922,481,240,30,0,79.55,13.1,6.53,1842,273,133,20,0,81.22,12.04,5.86,national
2025,MI,26017,,3335,2131,544,16.31,1478,1033,824,44.32,30.97,2576,522,224,13,0,77.24,15.65,6.72,1704,282,133,12,0,79.96,13.23,6.24,national
2025,MI,26159,,3337,2006,598,17.92,1212,1167,958,36.32,34.97,2776,343,202,16,0,83.19,10.28,6.05,1727,161,109,9,0,86.09,8.03,5.43,national
2025,MI,26037,,2943,1898,452,15.36,1275,952,716,43.32,32.35,2432,287,209,15,0,82.64,9.75,7.1,1615,160,116,7,0,85.09,8.43,6.11,national
2025,MI,26015,,3009,1783,573,19.04,1336,980,693,44.4,32.57,2510,313,180,6,0,83.42,10.4,5.98,1506,165,108,4,0,84.46,9.25,6.06,national
2025,MI,26117,,2840,1767,472,16.62,1151,1004,685,40.53,35.35,2153,441,215,31,0,75.81,15.53,7.57,1374,246,124,23,0,77.76,13.92,7.02,national
2025,MI,26111,,2660,1716,380,14.29,1178,939,543,44.29,35.3,2058,333,266,3,0,77.37,12.52,10.0,1368,188,158,2,0,79.72,10.96,9.21,national
2025,MI,26155,,2829,1675,511,18.06,1094,1021,714,38.67,36.09,2072,491,214,52,0,73.24,17.36,7.56,1239,278,119,39,0,73.97,16.6,7.1,national
2025,MI,26067,,2466,1478,457,18.53,1145,779,542,46.43,31.59,1951,321,176,18,0,79.12,13.02,7.14,1183,187,96,12,0,80.04,12.65,6.5,national
2025,MI,26149,,2392,1462,379,15.84,994,851,547,41.56,35.58,1836,376,144,36,0,76.76,15.72,6.02,1162,216,69,15,0,79.48,14.77,4.72,national
2025,MI,26123,,2252,1332,426,18.92,849,771,632,37.7,34.24,1754,331,163,4,0,77.89,14.7,7.24,1060,167,102,3,0,79.58,12.54,7.66,national
2025,MI,26027,,2264,1324,456,20.14,829,772,663,36.62,34.1,1812,325,112,15,0,80.04,14.36,4.95,1100,154,63,7,0,83.08,11.63,4.76,national
2025,MI,26073,,1743,1101,285,16.35,870,484,389,49.91,27.77,1386,220,127,10,0,79.52,12.62,7.29,910,117,68,6,0,82.65,10.63,6.18,national
2025,MI,26103,,1586,1013,222,14.0,668,590,328,42.12,37.2,1281,139,162,4,0,80.77,8.76,10.21,857,57,98,1,0,84.6,5.63,9.67,national
2025,MI,26107,,1652,1004,288,17.43,682,542,428,41.28,32.81,1295,196,149,12,0,78.39,11.86,9.02,815,107,74,8,0,81.18,10.66,7.37,national
2025,MI,26157,,1633,1002,281,17.21,694,546,393,42.5,33.44,1137,326,132,38,0,69.63,19.96,8.08,757,156,65,24,0,75.55,15.57,6.49,national
