year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,NC,37183,Wake,51606,32310,7775,15.07,23635,16050,11921,45.8,31.1,44356,4254,2908,88,0,85.95,8.24,5.64,28118,2472,1662,58,0,87.03,7.65,5.14,yes
2025,NC,37119,Mecklenburg,49350,29329,8354,16.93,21703,16524,11123,43.98,33.48,41519,5177,2650,4,0,84.13,10.49,5.37,25111,2772,1445,1,0,85.62,9.45,4.93,yes
2025,NC,37081,,20739,11525,4255,20.52,8854,6812,5073,42.69,32.85,16302,2810,1594,33,0,78.61,13.55,7.69,9094,1537,875,19,0,78.91,13.34,7.59,yes
2025,NC,37067,,16305,9620,2932,17.98,7222,5307,3776,44.29,32.55,12647,2253,1389,16,0,77.57,13.82,8.52,7580,1289,740,11,0,78.79,13.4,7.69,yes
2025,NC,37051,,16265,8370,2977,18.3,6549,7397,2319,40.26,45.48,6985,1833,7422,25,0,42.94,11.27,45.63,3203,936,4216,15,0,38.27,11.18,50.37,yes
2025,NC,37179,,13747,8298,2260,16.44,5690,4740,3317,41.39,34.48,11389,1562,781,15,0,82.85,11.36,5.68,6923,919,448,8,0,83.43,11.07,5.4,yes
2025,NC,37019,,13308,8193,2058,15.46,7574,3361,2373,56.91,25.26,10050,1811,1374,73,0,75.52,13.61,10.32,6262,1086,795,50,0,76.43,13.26,9.7,yes
2025,NC,37101,,13178,7995,2135,16.2,6368,4133,2677,48.32,31.36,9041,2337,1660,140,0,68.61,17.73,12.6,5573,1372,956,94,0,69.71,17.16,11.96,yes
2025,NC,37063,,12578,7684,1959,15.57,6028,3797,2753,47.92,30.19,10655,1233,690,0,0,84.71,9.8,5.49,6659,663,362,0,0,86.66,8.63,4.71,yes
2025,NC,37025,,11974,7194,1958,16.35,4911,4471,2592,41.01,37.34,9592,1559,814,9,0,80.11,13.02,6.8,5793,924,471,6,0,80.53,12.84,6.55,yes
2025,NC,37133,,12088,7087,1702,14.08,5633,4750,1705,46.6,39.3,4630,970,6457,31,0,38.3,8.02,53.42,2385,553,4124,25,0,33.65,7.8,58.19,yes
2025,NC,37071,,12406,7009,2322,18.72,6009,4044,2353,48.44,32.6,8819,2461,1067,59,0,71.09,19.84,8.6,5031,1373,563,42,0,71.78,19.59,8.03,yes
2025,NC,37129,,10741,6562,1672,15.57,4509,3385,2847,41.98,31.51,9141,813,783,4,0,85.1,7.57,7.29,5670,449,440,3,0,86.41,6.84,6.71,yes
2025,NC,37097,,10575,6305,1782,16.85,4946,3365,2264,46.77,31.82,8055,1659,831,30,0,76.17,15.69,7.86,4864,956,466,19,0,77.15,15.16,7.39,yes
2025,NC,37021,,9758,5578,1751,17.94,4375,3044,2339,44.84,31.19,8494,778,471,15,0,87.05,7.97,4.83,4926,397,244,11,0,88.31,7.12,4.37,yes
2025,NC,37085,,9275,5532,1409,15.19,5070,2952,1253,54.66,31.83,4672,1675,2855,73,0,50.37,18.06,30.78,2666,1023,1796,47,0,48.19,18.49,32.47,yes
2025,NC,37035,,8137,4897,1341,16.48,3982,2537,1618,48.94,31.18,6042,1397,649,49,0,74.25,17.17,7.98,3648,835,386,28,0,74.49,17.05,7.88,yes
2025,NC,37001,,8202,4837,1627,19.84,3908,2454,1840,47.65,29.92,6092,1415,679,16,0,74.27,17.25,8.28,3573,857,392,15,0,73.87,17.72,8.1,yes
2025,NC,37057,,8323,4799,1560,18.74,3800,2743,1780,45.66,32.96,5934,1487,838,64,0,71.3,17.87,10.07,3376,898,473,52,0,70.35,18.71,9.86,yes
2025,NC,37159,,7018,3974,1323,18.85,3133,2450,1435,44.64,34.91,4912,1357,705,44,0,69.99,19.34,10.05,2780,746,415,33,0,69.95,18.77,10.44,yes
2025,NC,37147,,6949,3900,1347,19.38,3601,2077,1271,51.82,29.89,5102,1020,794,33,0,73.42,14.68,11.43,2854,585,440,21,0,73.18,15.0,11.28,yes
2025,NC,37125,,5891,3677,800,13.58,2788,1983,1120,47.33,33.66,3555,434,1885,17,0,60.35,7.37,32.0,2203,240,1221,13,0,59.91,6.53,33.21,yes
2025,NC,37151,,5684,3200,1220,21.46,2445,1951,1288,43.02,34.32,4186,991,475,32,0,73.65,17.43,8.36,2329,573,277,21,0,72.78,17.91,8.66,yes
2025,NC,37089,,5288,3103,921,17.42,2592,1552,1144,49.02,29.35,4356,534,377,21,0,82.38,10.1,7.13,2560,326,203,14,0,82.5,10.51,6.54,yes
2025,NC,37049,,5302,3084,905,17.07,2457,1789,1056,46.34,33.74,3176,567,1553,6,0,59.9,10.69,29.29,1782,343,956,3,0,57.78,11.12,31.0,yes
2025,NC,37109,,4900,2925,855,17.45,2231,1545,1124,45.53,31.53,3764,706,398,32,0,76.82,14.41,8.12,2270,418,217,20,0,77.61,14.29,7.42,yes
2025,NC,37135,,4621,2897,690,14.93,1898,1458,1265,41.07,31.55,4146,276,196,3,0,89.72,5.97,4.24,2640,153,104,0,0,91.13,5.28,3.59,yes
2025,NC,37191,,4924,2636,1047,21.26,2344,1721,859,47.6,34.95,2802,794,1291,37,0,56.9,16.13,26.22,1370,463,780,23,0,51.97,17.56,29.59,yes
2025,NC,37141,,4436,2534,746,16.82,2248,1301,887,50.68,29.33,3126,535,764,11,0,70.47,12.06,17.22,1740,303,488,3,0,68.67,11.96,19.26,yes
